1. Raw captured requests total: 923
2. Unique method + full URL count: 256
3. Unique normalized endpoints (method + path template + query shape): 148

4. Category Totals:
   - jobs list/filter          : 8 unique endpoints
   - job detail                : 33 unique endpoints
   - users/assignment          : 10 unique endpoints
   - contacts                  : 15 unique endpoints
   - financials                : 19 unique endpoints
   - documents/files/photos    : 10 unique endpoints
   - notes/activity            : 5 unique endpoints
   - webhook/config            : 1 unique endpoints
   - other                     : 47 unique endpoints

=== FULL DEDUPED INVENTORY TABLE ===
| Category | Method | Normalized Path | Query Params Structure | Type Guess | Count | Example URL |
| financials | GET | /api/jobs/{uuid}/invoices/new | (none) | json | 1 | /api/jobs/ea2d3425-8049-4902-9632-3e9df8043d7b/invoices/new |
| financials | GET | /api/invoices/view-terms | (none) | json | 1 | /api/invoices/view-terms |
| financials | GET | /api/EstimateV3/GetPrimaryEstimate/{uuid} | (none) | json | 1 | /api/EstimateV3/GetPrimaryEstimate/ea2d3425-8049-4902-9632-3e9df8043d7b |
| financials | GET | /api/EstimateV3/{uuid}/GetNewEstimates | (none) | json | 1 | /api/EstimateV3/ea2d3425-8049-4902-9632-3e9df8043d7b/GetNewEstimates |
| financials | GET | /api/jobs/{uuid}/get-financial-worksheet-overview | (none) | json | 2 | /api/jobs/ea2d3425-8049-4902-9632-3e9df8043d7b/get-financial-worksheet-overview |
| documents/files/photos | GET | /api/v3/media/job/{uuid}/view-media | useAbsoluteUrls | json | 1 | /api/v3/media/job/ea2d3425-8049-4902-9632-3e9df8043d7b/view-media?useAbsoluteUrls=false |
| documents/files/photos | GET | /api/v3/media/view-tags | includeSystemTags | json | 1 | /api/v3/media/view-tags?includeSystemTags=true |
| documents/files/photos | GET | /api/v3/album/job/{uuid}/view-job-albums | (none) | json | 1 | /api/v3/album/job/ea2d3425-8049-4902-9632-3e9df8043d7b/view-job-albums |
| documents/files/photos | GET | /api/v3/media/view-delete-permissions | (none) | json | 1 | /api/v3/media/view-delete-permissions |
| documents/files/photos | POST | /api/v3/media/view-company-users | (none) | json | 1 | /api/v3/media/view-company-users |
| documents/files/photos | GET | /api/v3/media/job/{uuid}/view-insurance-claim-number | (none) | json | 1 | /api/v3/media/job/ea2d3425-8049-4902-9632-3e9df8043d7b/view-insurance-claim-number |
| documents/files/photos | GET | /api/v3/media/view-company-information | (none) | json | 1 | /api/v3/media/view-company-information |
| documents/files/photos | GET | /api/v3/media/{uuid}/view-media-file-messages | (none) | json | 2 | /api/v3/media/c8f9c05d-e7a4-40be-825a-53bbddc0adfa/view-media-file-messages |
| documents/files/photos | GET | /api/v4/job-documents/{uuid}/job-document-folders | (none) | json | 2 | /api/v4/job-documents/ea2d3425-8049-4902-9632-3e9df8043d7b/job-document-folders |
| documents/files/photos | GET | /api/v4/job-documents/smart-docs-company-settings | (none) | json | 2 | /api/v4/job-documents/smart-docs-company-settings |
| notes/activity | GET | /api/dashboard/GetActivityFeedCount | CountOnly&EndTime | json | 2 | /api/dashboard/GetActivityFeedCount?CountOnly=true&EndTime=2026-03-10T07:18:08.0219156Z |
| notes/activity | GET | /api/dashboard/GetActivityFeed | (none) | json | 1 | /api/dashboard/GetActivityFeed |
| notes/activity | GET | /api/jobOverview/{uuid}/GetJobActivityCount | (none) | json | 10 | /api/jobOverview/ea2d3425-8049-4902-9632-3e9df8043d7b/GetJobActivityCount |
| notes/activity | GET | /api/jobs/{uuid}/JobMessageFeed | page&query&sort | json | 2 | /api/jobs/ea2d3425-8049-4902-9632-3e9df8043d7b/JobMessageFeed?page=1&query=&sort=createdDate%7Cdesc |
